"rules","support","confidence","coverage","lift","count"
"{speakers} => {headphones}",0.24,0.6,0.4,1.30434782608696,12
"{headphones} => {speakers}",0.24,0.521739130434783,0.46,1.30434782608696,12
"{speakers} => {mouse}",0.4,1,0.4,1.61290322580645,20
"{mouse} => {speakers}",0.4,0.645161290322581,0.62,1.61290322580645,20
"{speakers} => {pendrive}",0.24,0.6,0.4,0.967741935483871,12
"{pendrive} => {speakers}",0.24,0.387096774193548,0.62,0.967741935483871,12
"{speakers} => {laptop}",0.24,0.6,0.4,0.714285714285714,12
"{headphones} => {mouse}",0.24,0.521739130434783,0.46,0.841514726507714,12
"{mouse} => {headphones}",0.24,0.387096774193548,0.62,0.841514726507714,12
"{headphones} => {pendrive}",0.24,0.521739130434783,0.46,0.841514726507714,12
"{pendrive} => {headphones}",0.24,0.387096774193548,0.62,0.841514726507714,12
"{headphones} => {laptop}",0.46,1,0.46,1.19047619047619,23
"{laptop} => {headphones}",0.46,0.547619047619048,0.84,1.19047619047619,23
"{mouse} => {pendrive}",0.46,0.741935483870968,0.62,1.19667013527575,23
"{pendrive} => {mouse}",0.46,0.741935483870968,0.62,1.19667013527575,23
"{mouse} => {laptop}",0.46,0.741935483870968,0.62,0.883256528417819,23
"{laptop} => {mouse}",0.46,0.547619047619048,0.84,0.883256528417819,23
"{pendrive} => {laptop}",0.62,1,0.62,1.19047619047619,31
"{laptop} => {pendrive}",0.62,0.738095238095238,0.84,1.19047619047619,31
"{headphones,speakers} => {mouse}",0.24,1,0.24,1.61290322580645,12
"{mouse,speakers} => {headphones}",0.24,0.6,0.4,1.30434782608696,12
"{headphones,mouse} => {speakers}",0.24,1,0.24,2.5,12
"{headphones,speakers} => {pendrive}",0.24,1,0.24,1.61290322580645,12
"{pendrive,speakers} => {headphones}",0.24,1,0.24,2.17391304347826,12
"{headphones,pendrive} => {speakers}",0.24,1,0.24,2.5,12
"{headphones,speakers} => {laptop}",0.24,1,0.24,1.19047619047619,12
"{laptop,speakers} => {headphones}",0.24,1,0.24,2.17391304347826,12
"{headphones,laptop} => {speakers}",0.24,0.521739130434783,0.46,1.30434782608696,12
"{mouse,speakers} => {pendrive}",0.24,0.6,0.4,0.967741935483871,12
"{pendrive,speakers} => {mouse}",0.24,1,0.24,1.61290322580645,12
"{mouse,pendrive} => {speakers}",0.24,0.521739130434783,0.46,1.30434782608696,12
"{mouse,speakers} => {laptop}",0.24,0.6,0.4,0.714285714285714,12
"{laptop,speakers} => {mouse}",0.24,1,0.24,1.61290322580645,12
"{laptop,mouse} => {speakers}",0.24,0.521739130434783,0.46,1.30434782608696,12
"{pendrive,speakers} => {laptop}",0.24,1,0.24,1.19047619047619,12
"{laptop,speakers} => {pendrive}",0.24,1,0.24,1.61290322580645,12
"{laptop,pendrive} => {speakers}",0.24,0.387096774193548,0.62,0.967741935483871,12
"{headphones,mouse} => {pendrive}",0.24,1,0.24,1.61290322580645,12
"{headphones,pendrive} => {mouse}",0.24,1,0.24,1.61290322580645,12
"{mouse,pendrive} => {headphones}",0.24,0.521739130434783,0.46,1.13421550094518,12
"{headphones,mouse} => {laptop}",0.24,1,0.24,1.19047619047619,12
"{headphones,laptop} => {mouse}",0.24,0.521739130434783,0.46,0.841514726507714,12
"{laptop,mouse} => {headphones}",0.24,0.521739130434783,0.46,1.13421550094518,12
"{headphones,pendrive} => {laptop}",0.24,1,0.24,1.19047619047619,12
"{headphones,laptop} => {pendrive}",0.24,0.521739130434783,0.46,0.841514726507714,12
"{laptop,pendrive} => {headphones}",0.24,0.387096774193548,0.62,0.841514726507714,12
"{mouse,pendrive} => {laptop}",0.46,1,0.46,1.19047619047619,23
"{laptop,mouse} => {pendrive}",0.46,1,0.46,1.61290322580645,23
"{laptop,pendrive} => {mouse}",0.46,0.741935483870968,0.62,1.19667013527575,23
