Customer_Id,Products
1,"laptop, mouse , headphones, pendrive, speakers"
2,"laptop, headphones"
3,"laptop, mouse, pendrive"
4,"mouse, speakers"
5,"laptop, pendrive"
6,"laptop, mouse , headphones, pendrive, speakers"
7,"laptop, headphones"
8,"laptop, mouse, pendrive"
9,"mouse, speakers"
10,"laptop, pendrive"
11,"laptop, mouse , headphones, pendrive, speakers"
12,"laptop, headphones"
13,"laptop, mouse, pendrive"
14,"laptop, mouse , headphones, pendrive, speakers"
15,"laptop, headphones"
16,"laptop, mouse, pendrive"
17,"mouse, speakers"
18,"laptop, pendrive"
19,"laptop, mouse , headphones, pendrive, speakers"
20,"laptop, headphones"
21,"laptop, mouse, pendrive"
22,"mouse, speakers"
23,"laptop, pendrive"
24,"laptop, mouse , headphones, pendrive, speakers"
25,"laptop, headphones"
26,"laptop, mouse, pendrive"
27,"laptop, mouse , headphones, pendrive, speakers"
28,"laptop, headphones"
29,"laptop, mouse, pendrive"
30,"mouse, speakers"
31,"laptop, pendrive"
32,"laptop, mouse , headphones, pendrive, speakers"
33,"laptop, headphones"
34,"laptop, mouse, pendrive"
35,"mouse, speakers"
36,"laptop, pendrive"
37,"laptop, mouse , headphones, pendrive, speakers"
38,"laptop, headphones"
39,"laptop, mouse, pendrive"
40,"laptop, mouse , headphones, pendrive, speakers"
41,"laptop, headphones"
42,"laptop, mouse, pendrive"
43,"mouse, speakers"
44,"laptop, pendrive"
45,"laptop, mouse , headphones, pendrive, speakers"
46,"laptop, headphones"
47,"laptop, mouse, pendrive"
48,"mouse, speakers"
49,"laptop, pendrive"
50,"laptop, mouse , headphones, pendrive, speakers"
